"Мир, природа",,
south,[saʊθ] ,юг
capacity,[kəˈpæsɪti] ,вместимость
volume,[ˈvɒljʊm] ,объем
mass,[mæs] ,масса
weight,[weɪt] ,вес
smell,[smɛl] ,запах
pace,[peɪs] ,темп 
contrast,[ˈkɒntrɑːst] ,контраст
absence,[ˈæbsəns] ,отсутствие
presence,[ˈprɛzns] ,присутствие
state,[steɪt] ,состояние (напр. вещества)
noise,[nɔɪz] ,шум
resistance,[rɪˈzɪstəns] ,сопротивление
tension,[ˈtɛnʃən] ,"напряжение, натяжение"
kilogram,[ˈkɪləʊgræm] ,килограмм
meter,[ˈmiːtə] ,метр
inch,[ɪnʧ] ,дюйм
mile,[maɪl] ,миля
pound,[paʊnd] ,фунт
foot,[fʊt] ,фут
Материалы,,
material,[məˈtɪərɪəl] ,материал 
wood,[wʊd] ,"древесина, дерево"
glass,[glɑːs] ,стекло
plastic,[ˈplæstɪk] ,пластик 
metal,[ˈmɛtl] ,металл
steel,[stiːl] ,сталь 
plank,[plæŋk] ,доска
board,[bɔːd] ,"доска, панель"
element,[ˈɛlɪmənt] ,элемент 
brick,[brɪk] ,кирпич
lead,[liːd] ,свинец
chip,[ʧɪp],осколок (кусочек)
substance,[ˈsʌbstəns] ,вещество 
iron,[ˈaɪən] ,железо
mixture,[ˈmɪksʧə] ,смесь 
fiber,[faɪbə] ,волокно
chemical,[ˈkɛmɪkəl] ,химикат
tissue (biol.),[ˈtɪʃuː],ткань (биол.)
mix,[mɪks] ,смесь
paper,[ˈpeɪpə] ,бумага 
piece (of something),[piːs],кусок чего-либо
bit (of something),[bɪt],частичка
Техника,,
process,[ˈprəʊsɛs] ,процесс 
model,[ˈmɒdl] ,модель 
impact,[ˈɪmpækt] ,"удар (столкновние), воздействие "
hole,[həʊl] ,отверстие 
basis,[ˈbeɪsɪs] ,основа
engine,[ˈɛnʤɪn] ,двигатель 
function,[ˈfʌnŋkʃən] ,функция 
damage,[ˈdæmɪʤ] ,повреждение 
component,[kəmˈpəʊnənt] ,компонент 
chain,[ʧeɪn] ,цепь 
tear,[teə] ,разрыв (прореха)
improvement,[ɪmˈpruːvmənt] ,улучшение 
core,[kɔː] ,ядро 
rise,[raɪz] ,увеличение (рост)
link,[lɪŋk],соединение (звено)
release,[rɪˈliːs] ,выпуск (выход)
hit,[hɪt] ,удар (попадание)
transition,[trænˈsɪʒən] ,переход 
cycle,[ˈsaɪkl] ,цикл 
exposure (to something),[ɪksˈpəʊʒə] ,подверженность  (воздействию чего-то)
phase,[feɪz] ,фаза 
reduction,[rɪˈdʌkʃən] ,сокращение 
shift,[ʃɪft] ,сдвиг 
wire,[ˈwaɪə] ,провод 
smoke,[sməʊk] ,дым 
shell,[ʃɛl] ,оболочка 
gear,[gɪə] ,"механизм (аппарат), шестерня"
barrier,[ˈbærɪə] ,барьер 
chamber,[ˈʧeɪmbə] ,полость (палата)
mechanism,[ˈmɛkənɪzm] ,механизм 
destruction,[dɪsˈtrʌkʃən] ,разрушение 
electricity,[ɪlɛkˈtrɪsɪti] ,электричество 
expansion,[ɪksˈpænʃən] ,расширение 
decline,[dɪˈklaɪn] ,спад (склон)
concentration,[ˌkɒnsənˈtreɪʃən] ,концентрация 
reflection,[rɪˈflɛkʃən] ,отражение 
mode,[məʊd] ,режим (работы чего-то)
platform,[ˈplætfɔːm] ,платформа 
hold,[həʊld] ,"удержание, хватка"
segment,[ˈsɛgmənt] ,сегмент 
tank,[tæŋk] ,бак (танк)
gap,[gæp] ,разрыв (пробел)
layer,[ˈleɪə] ,слой 
power,[ˈpaʊə] ,энергия
standard,[ˈstændəd] ,стандарт 
part,[pɑːt] ,часть
effect,[ɪˈfɛkt] ,эффект 
surface,[ˈsɜːfɪs] ,поверхность 
portion,[ˈpɔːʃən] ,порция
Пространство,,
movement,[ˈmuːvmənt] ,движение 
direction,[dɪˈrɛkʃən] ,направление 
edge,[ɛʤ] ,край 
fall,[fɔːl] ,падение
access,[ˈæksɛs] ,доступ 
turn,[tɜːn] ,поворот 
distance,[ˈdɪstəns] ,расстояние 
return,[rɪˈtɜːn] ,возвращение 
middle,[ˈmɪdl] ,середина
path,[pɑːθ] ,"путь, тропа"
move,[muːv] ,"ход, движение"
location,[ləʊˈkeɪʃən] ,"местонахождение, место"
front,[frʌnt] ,передняя часть
bottom,[ˈbɒtəm] ,дно (нижняя часть)
trail,[treɪl] ,тропа 
limit,[ˈlɪmɪt] ,"предел, ограничение"
zone,[zəʊn] ,зона 
motion,[ˈməʊʃən] ,движение 
row,[rəʊ] ,ряд
length,[lɛŋθ] ,длина
width,[wɪdθ] ,ширина
coverage,[ˈkʌvərɪʤ] ,охват (покрытие)
passage,[ˈpæsɪʤ] ,проезд (проход)
advance,[ədˈvɑːns] ,продвижение
arrangement,[əˈreɪnʤmənt] ,расположение 
drop,[drɒp] ,падение 
depth,[dɛpθ] ,глубина 
boundary,[ˈbaʊndəri] ,граница (предел)
course,[kɔːs] ,курс 
way,[weɪ] ,путь (способ)
place,[pleɪs] ,место 
point,[pɔɪnt] ,точка (пункт)
area,[ˈeərɪə] ,"местность, регион, район"
side,[saɪd] ,сторона 
end,[ɛnd] ,конец 
center,[ˈsɛntə] ,центр 
absence,[ˈæbsəns] ,отсутствие 
presence,[ˈprɛzns] ,наличие 
corner,[ˈkɔːnə] ,угол 
Логика,,
problem,[ˈprɒbləm] ,проблема 
fact,[fækt] ,факт 
issue,[ˈɪʃuː] ,вопрос (проблема) 
information,[ˌɪnfəˈmeɪʃən] ,информация 
result,[rɪˈzʌlt] ,результат 
reason,[ˈriːzn] ,причина
decision,[dɪˈsɪʒən] ,решение 
matter,[ˈmætə] ,дело (вопрос) 
type,[taɪp] ,тип
rule,[ruːl] ,правило 
goal,[gəʊl] ,цель 
factor,[ˈfæktə] ,фактор 
approach,[əˈprəʊʧ] ,подход (к чему-либо)
option,[ˈɒpʃən] ,вариант (опция)
version,[ˈvɜːʃən] ,версия 
solution,[səˈluːʃən] ,решение 
mistake,[mɪsˈteɪk] ,ошибка 
category,[ˈkætɪgəri] ,категория 
finding,[ˈfaɪndɪŋ] ,"находка, вывод, информация, полученная в результате исследования"
search,[sɜːʧ] ,поиск 
importance,[ɪmˈpɔːtəns] ,важность 
cause,[kɔːz] ,причина
effect,[ɪˈfɛkt] ,"следствие, эффект"
conclusion,[kənˈkluːʒən] ,"вывод, заключение"
notion,[ˈnəʊʃən] ,"идея (замечание), представление о чем-то"
definition,[ˌdɛfɪˈnɪʃən] ,определение 
priority,[praɪˈɒrɪti] ,приоритет 
exception,[ɪkˈsɛpʃən] ,исключение 
feature,[ˈfiːʧə] ,особенность 
comparison,[kəmˈpærɪsn] ,сравнение 
relation,[rɪˈleɪʃən] ,"отношение, связь"
criteria,[kraɪˈtɪərɪə] ,критерий
Мышление,,
idea,[aɪˈdɪə] ,идея 
mind,[maɪnd] ,"разум, сознание"
attention,[əˈtɛnʃ(ə)n] ,внимание 
thought,[θɔːt] ,мысль
memory,[ˈmɛməri] ,память
opinion,[əˈpɪnjən] ,мнение 
vision,[ˈvɪʒən] ,видение 
intelligence,[ɪnˈtɛlɪʤəns] ,"интеллект, разведданные (разведка)"
focus,[ˈfəʊkəs] ,"центр, сосредоточение"
will (power of will),[wɪl],воля (психол.)
thinking,[ˈθɪŋkɪŋ] ,мышление
perception,[pəˈsɛpʃən] ,восприятие 
doubt,[daʊt] ,сомнение
reflection,[rɪˈflɛkʃən] ,размышление
insight,[ˈɪnsaɪt] ,прозрение
imagination,[ɪˌmæʤɪˈneɪʃən] ,воображение 
capability,[ˌkeɪpəˈbɪlɪti] ,способность 
fantasy,[ˈfæntəsi] ,фантазия 
sense,[sɛns] ,смысл 
interest,[ˈɪntrɪst] ,интерес 
meaning,[ˈmiːnɪŋ] ,значение
interpretation,[ɪnˌtɜːprɪˈteɪʃən] ,интерпретация 
assumption,[əˈsʌmpʃ(ə)n] ,предположение 
perspective,[pəˈspɛktɪv] ,"точка зрения, взгляд"
planning,[ˈplænɪŋ] ,планирование 
recognition,[ˌrɛkəgˈnɪʃən] ,узнавание
consideration,[kənˌsɪdəˈreɪʃən] ,рассмотрение 
intention,[ɪnˈtɛnʃən] ,намерение 
awareness,[əˈweənəs] ,осведомленность
controversy,[ˈkɒntrəvɜːsi] ,"противоречие, несогласие по вопросу, бурная дискуссия"
distinction,[dɪsˈtɪŋkʃən] ,различие 
variation,[ˌveərɪˈeɪʃən] ,"разновидность, вариация, изменение в чем-либо"
list,[lɪst] ,список 
expectation,[ˌɛkspɛkˈteɪʃən] ,ожидание 
initiative,[ɪˈnɪʃɪətɪv] ,"инициатива, преимущество"
"Психология, чувства",,
psychology,[saɪˈkɒləʤi] ,психология
potential,[pəʊˈtɛnʃəl] ,потенциал 
choice,[ʧɔɪs] ,выбор 
burden,[ˈbɜːdn] ,бремя 
significance,[sɪgˈnɪfɪkəns] ,значимость 
experience,[ɪksˈpɪərɪəns] ,опыт 
subject,[ˈsʌbʤɪkt] ,"субъект, предмет, учебный предмет"
behavior,[bɪˈheɪvjə] ,поведение 
concern,[kənˈsɜːn] ,забота 
truth,[truːθ] ,правда 
lie,[laɪ] ,неправда (ложь)
purpose,[ˈpɜːpəs] ,цель 
honor,[ˈɒnə] ,честь 
objective,[əbˈʤɛktɪv] ,цель 
feeling,[ˈfiːlɪŋ] ,чувство 
fear,[fɪə] ,страх 
dream,[driːm] ,"мечта, сон"
hope,[həʊp] ,надежда
drive,[draɪv] ,воодушевление (прилив сил)
desire,[dɪˈzaɪə] ,желание (страсть)
confidence,[ˈkɒnfɪdəns] ,уверенность 
depression,[dɪˈprɛʃən] ,депрессия 
passion,[ˈpæʃən] ,страсть 
habit,[ˈhæbɪt] ,привычка 
anger,[ˈæŋgə] ,гнев 
anxiety,[æŋˈzaɪəti] ,тревожность
impression,[ɪmˈprɛʃən] ,впечатление 
terror,[ˈtɛrə] , ужас
satisfaction,[ˌsætɪsˈfækʃən] ,удовлетворение 
pride,[praɪd] ,гордость 
joy,[ʤɔɪ] ,радость 
fault,[fɔːlt] ,вина
emotion,[ɪˈməʊʃən] ,эмоции 
mood,[muːd] ,настроение 
stress,[strɛs] ,стресс
attitude,[ˈætɪtjuːd] ,отношение (к чему-то)
pleasure,[ˈplɛʒə] ,удовольствие 
luck,[lʌk] ,удача
love,[lʌv] ,любовь
friendship,[ˈfrɛndʃɪp] ,дружба
Семья,,
family,[ˈfæmɪli] ,семья
parents,[ˈpeərənts] ,родители
mother,[ˈmʌðə] ,мать
father,[ˈfɑːðə] ,отец
"mom (Am.), mum (Br.)",[mɒm] [mʌm],мама
dad,[dæd] ,папа
grandmother,[ˈgrænˌmʌðə] ,бабушка
grandfather,[ˈgrændˌfɑːðə] ,дедушка
brother,[ˈbrʌðə] ,брат
sister,[ˈsɪstə] ,сестра
cousin,[ˈkʌzn] ,кузен (двоюродные братья и сестры)
wife,[waɪf] ,жена
husband,[ˈhʌzbənd] ,муж
son,[sʌn] ,сын
daughter,[ˈdɔːtə] ,дочь
baby,[ˈbeɪbi] ,маленький ребенок
"children, kids",[ˈʧɪldrən] [kɪdz] ,дети
teenager,[ˈtiːnˌeɪʤə] ,подросток
aunt,[ɑːnt] ,тетя
uncle,[ˈʌŋkl] ,дядя
niece,[niːs] ,племянница
nephew,[ˈnɛvju(ː)] ,племянник
girlfriend,[ˈgɜːlˌfrɛnd] ,девушка (подруга)
boyfriend,[ˈbɔɪˌfrɛnd] ,парень (бойфренд)
friend,[frɛnd] ,друг
relatives,[ˈrɛlətɪvz] ,родственники
engagement,[ɪnˈgeɪʤmənt] ,помолвка
marriage,[ˈmærɪʤ] ,женитьба
wedding,[ˈwɛdɪŋ] ,свадьба
"fiancée, bride","fiancé[iː], [braɪd] ",невеста
"fiancé, groom (bridegroom)","fiancé, [grʊm] [ˈbraɪdgrʊm]",жених
Взаимоотношения,,
relationships,[rɪˈleɪʃənʃɪps] ,отношения 
love,[lʌv] ,любовь
friendship,[ˈfrɛndʃɪp] ,дружба
date,[deɪt] ,свидание
proposal,[prəˈpəʊzəl] ,предложение 
affair,[əˈfeə] ,любовная связь (роман)
lover,[ˈlʌvə] ,"любовник, любовница"
understanding,[ˌʌndəˈstændɪŋ] ,понимание 
jealousy,[ˈʤɛləsi] ,ревность
betrayal,[bɪˈtreɪəl] ,предательство
argument,[ˈɑːgjʊmənt] ,"спор, ссора"
quarrel,[ˈkwɒrəl] ,ссора
divorce,[dɪˈvɔːs] ,развод
influence,[ˈɪnflʊəns] ,влияние 
smile,[smaɪl] ,улыбка 
visit,[ˈvɪzɪt] ,визит 
respect,[rɪsˈpɛkt] ,уважение 
surprise,[səˈpraɪz] ,сюрприз 
fun,[fʌn] ,веселье
guest,[gɛst] ,гость 
neighbor,[ˈneɪbə] ,сосед 
stranger,[ˈstreɪnʤə],незнакомец 
Сотрудничество,,
team,[tiːm] ,команда 
support,[səˈpɔːt] ,поддержка 
help,[hɛlp] ,помощь 
partner,[ˈpɑːtnə] ,партнер 
participant,[pɑːˈtɪsɪpənt] ,участник 
gift,[gɪft] ,подарок (дар) 
colleague,[ˈkɒliːg] ,коллега 
present,[ˈprɛznt] ,подарок
good,[gʊd] ,польза (добро)
cooperation,[kəʊˌɒpəˈreɪʃən] ,сотрудничество 
challenge,[ˈʧælɪnʤ] ,"вызов, трудная задача"
difficulty,[ˈdɪfɪkəlti] ,трудность 
struggle,[ˈstrʌgl] ,борьба 
resolution,[ˌrɛzəˈluːʃən] ,"решение (задачи, проблемы)"
competition,[ˌkɒmpɪˈtɪʃən] ,конкуренция
assistance,[əˈsɪstəns] ,помощь 
opponent,[əˈpəʊnənt] ,оппонент
trouble,[ˈtrʌbl] ,беда 
conflict,[ˈkɒnflɪkt] ,конфликт 
criticism,[ˈkrɪtɪsɪzm] ,критика 
request,[rɪˈkwɛst] ,запрос 
participation,[pɑːˌtɪsɪˈpeɪʃən] ,участие 
trust,[trʌst] ,доверие 
complaint,[kəmˈpleɪnt] ,жалоба 
consequence,[ˈkɒnsɪkwəns] ,последствие 
thanks,[θæŋks] ,благодарности
contribution,[ˌkɒntrɪˈbjuːʃən] ,вклад 
circumstance,[ˈsɜːkəmstəns] ,обстоятельство 
offer,[ˈɒfə] ,предложение 
occasion,[əˈkeɪʒən] ,случай (возможность)
"Живопись, фотография",,
drawing,[ˈdrɔːɪŋ] ,рисунок 
art,[ɑːt] ,"искусство, изобразительное искусство (и произведения)"
event,[ɪˈvɛnt] ,мероприятие 
image,[ˈɪmɪʤ] ,изображение 
picture,[ˈpɪkʧə] ,"картина, фото"
artist,[ˈɑːtɪst] ,художник 
design,[dɪˈzaɪn] ,"дизайн, разработка"
style,[staɪl] ,стиль 
painting,[ˈpeɪntɪŋ] ,"живопись, картина"
camera,[ˈkæmərə] ,"фотокамера, видеокамера"
photo,[ˈfəʊtəʊ] ,фото 
culture,[ˈkʌlʧə] ,культура 
background,[ˈbækgraʊnd] ,"фон, опыт, происхождение человека"
photograph,[ˈfəʊtəgrɑːf] ,фотография 
exhibition,[ˌɛksɪˈbɪʃən] ,выставка 
portrait,[ˈpɔːtrɪt] ,портрет 
paint,[peɪnt] ,краска 
pencil,[ˈpɛnsl] ,карандаш
charcoal,[ˈʧɑːkəʊl] ,уголь (худ.)
brush,[brʌʃ] ,кисть
pen,[pɛn] ,авторучка
"Кино, театр, музыка",,
movie,[ˈmuːvi] ,фильм 
film,[fɪlm] ,фильм (кино\фотопленка)
play,[pleɪ] ,пьеса
audience,[ˈɔːdjəns] ,аудитория (зрители)
video,[ˈvɪdɪəʊ] ,видео 
actor,[ˈæktə] ,актер 
series,[ˈsɪəriːz] ,"серия, сериал"
stage,[steɪʤ] ,сцена (место)
dancer,[ˈdɑːnsə] ,танцор
studio,[ˈstjuːdɪəʊ] ,студия 
theater,[ˈθɪətə] ,театр 
viewer,[ˈvjuːə] ,зритель 
script (screenplay),[skrɪpt] [ˈskriːnpleɪ],сценарий 
celebrity,[sɪˈlɛbrɪti] ,знаменитость
